time,breath,heart,delta,theta,alpha
7,0.14814814814814814,0.8927853293653986,426.5472476456557,198.58307975778632,93.82899780085465
8,0.15619694397283532,0.928687058021641,275.97158464212737,159.8541362642834,78.89119440850044
9,0.16517055655296228,0.9938313913639479,313.3737232500773,137.05788506515583,72.1602748950959
10,0.17523809523809525,1.0075310400977,214.44433793283258,122.99073246055578,57.60610864634698
11,0.18661257606490872,0.9907075077437436,268.48752857681836,103.14723816132708,59.296044783621916
12,0.19956616052060736,0.9882146255764586,167.6088057721119,93.27169720639188,56.54190855828804
13,0.21176470588235294,0.9813613676367757,193.72405490154648,87.75825220588827,50.1119714539823
14,0.2168674698795181,0.9897360703812317,136.84134327648803,89.16855249990438,38.89566017108411
15,0.2222222222222222,1.0058633238980994,163.82686563963824,75.92816634615522,40.72272714720564
16,0.22784810126582278,0.9870028339685332,123.39280880330594,77.34026266033781,38.88302459641208
17,0.23376623376623376,0.9682562010596897,143.84315449765955,73.69703984455924,40.20231281437298
18,0.20809248554913296,0.9787264591160354,104.80022212426204,66.86651953070907,43.977664843284174
19,0.18030050083472457,1.0030418059780286,124.6912606691556,57.092613476768875,37.48026039602834
20,0.1590574374079529,0.9967685806611981,95.30092766832864,58.37458394790526,38.024633792257966
21,0.1422924901185771,0.9684378370773344,115.77549593436754,55.63144673271397,38.71144919339437
22,0.12872467222884387,0.9569377990430623,85.86780803196052,46.168609889672815,35.45758140374761
23,0.11751904243743198,0.9668508287292816,104.54539717596762,51.39551663783671,27.076851492921406
24,0.10810810810810811,0.9984984984984981,78.0850090758499,45.699222361764384,28.841528039997097
25,0.10451306413301663,1.0278768661646187,84.28614036613591,45.0493930986187,30.852977042914837
26,0.10114942528735632,1.0309278350515465,69.24727672641473,31.03427030877519,27.544926962700366
27,0.09799554565701558,1.0258298700615498,86.52898500925983,32.91469997652011,38.26273060039561
28,0.09503239740820733,1.0257219504497397,67.358212645711,37.49699464509241,34.19833917091486
29,0.09224318658280924,1.003884376734097,81.69470768857593,38.82809101301857,32.2360599109019
30,0.08961303462321792,0.9613606951377335,62.44312865449426,38.39776429299374,29.24465112150874
31,0.08712871287128714,0.9393605292171995,72.49211077436173,43.66953507391954,29.75748569693761
32,0.08477842003853565,0.9278350515463918,60.2876183179474,38.81891792583757,44.342155505680395
33,0.0825515947467167,0.9227614490772384,74.6535032003787,23.42951990911248,36.49609687843841
34,0.08043875685557587,0.9388839681133746,53.33307309750795,34.96019286419491,42.56944104828143
35,0.0784313725490196,0.9603925692253766,68.27242867468877,25.484323423532587,25.005715450184262
36,0.08648648648648649,0.992501102779003,56.583410820098045,25.91380762219476,25.191747633385813
37,0.0963855421686747,0.9898020395920815,71.24991883119827,30.64045093261923,26.862582988276472
38,0.10884353741496598,1.043601792153863,57.34696065572782,21.20331943234502,26.361618944195726
39,0.125,1.0476918039943253,69.5437536023515,26.8799242338092,23.42808654387154
40,0.14678899082568808,1.0337439742903052,63.57936160444507,27.559623679172113,24.753068813609534
41,0.17777777777777778,1.0320736741822805,181.76607712407727,31.864663330703717,21.11440484544741
42,0.22535211267605634,1.0052910052910056,259.5373986936018,32.68591171525152,21.596286249604915
43,0.3076923076923077,0.9873608112369912,71.77148982323311,34.61844761761518,25.258897693620938
44,0.2843601895734597,0.9822036370708931,44.74743437965746,30.262877021826988,23.369878455370877
45,0.2643171806167401,1.0056710775047262,41.24810142472883,27.301434314419165,25.06979371890463
46,0.2469135802469136,0.9935897435897437,44.97052396361166,28.98059657657216,24.09965026189031
47,0.23529411764705882,0.9985949417904448,57.64656748552275,31.616939520599118,26.04843329187042
48,0.23529411764705882,1.0331467929401628,44.10103486346698,32.836862089959794,22.65545497524111
49,0.23529411764705882,1.0638297872340425,47.37812133300974,34.70609669134833,22.073437374229734
50,0.23529411764705882,1.0568878973786953,33.15621605890428,27.119242280572944,21.335743620548193
51,0.23529411764705882,1.037160437434506,44.52001588170898,15.096629771253316,22.848345128052724
52,0.1799816345270891,1.0388559093362113,35.720681691314155,19.75257805281467,23.755497265076333
53,0.14572490706319705,1.0496446085183757,37.5525956441806,27.079030176187665,23.225358913326264
54,0.12242348532167394,1.0314224034540662,35.423058864694646,30.519533533865705,19.632167653916632
55,0.1055465805061928,1.002064555113551,47.33074090349197,25.186990894402587,22.95489174525639
56,0.09275911026975864,0.9843378751878971,30.83487203833607,28.318767646683483,22.091227171321005
57,0.08273533136344449,1.0004241199511013,41.66594979785052,25.721308933824794,23.252582294103785
58,0.07466666666666667,1.018292998911748,25.28403492854105,27.998610135517755,65.59208940409026
59,0.06803193335647345,1.0110058868697211,37.52226061532426,30.497804483445776,63.36904930214807
60,0.062480076506216134,0.9958526833387144,32.796830747213335,22.749029348217547,45.582826306864774
61,0.05776598880047156,0.9900990099009901,41.72199494825628,28.50722768147498,35.93421647709287
62,0.053713346122225274,0.9786989061600461,39.419293388158486,20.955859203228634,63.23386702197016
63,0.05019206145966709,0.9762369636649364,45.88237468545643,33.00722195386386,47.8942264451831
64,0.051393939393939395,0.9752152609295466,35.91621816404294,26.389897845690154,36.65773373799851
65,0.054345039733401684,0.9807692307692308,31.296048526234316,24.54667318748041,24.022570319362572
66,0.05765569757954855,0.9851977675321524,33.206626153234076,24.247068342576732,37.57285182938327
67,0.06139588763394151,0.9899049299225717,24.93048123041156,19.98449228951051,35.13645161070699
68,0.06565500154846701,0.9746958522067021,30.307016906517603,16.987852139857246,30.547203824876355
69,0.07054908485856906,0.9478672985781991,27.82708636768897,26.990174312993258,23.77795024959848
70,0.07623157137720243,0.956619485673648,25.599613688308004,26.043537479692628,24.939838490883712
71,0.08290965975752836,0.9916699722332399,19.034224705289162,21.7307094537586,20.36947208487332
72,0.09087012430347192,1.0329089598846986,45.775271779838334,21.28631406133245,26.862596738540955
73,0.10052157420578473,1.0520763935154334,22.836780622838514,23.191713177648626,22.442218144185343
74,0.11246684350132626,1.0953724266250513,50.032721026896,13.21117186295731,28.341788169283472
75,0.127633955448525,1.1286681715575617,102.87728234141943,20.179369441935698,23.71063193039148
76,0.1475295755045233,1.1711986964049284,69.27496863639375,21.966073769163287,33.4581825643231
77,0.17061611374407584,1.158340389500424,37.31884334671236,22.39540799201205,27.716162853917066
78,0.19672131147540986,1.0625086242583142,23.643865620541565,26.97763100062763,25.640472345651688
79,0.23225806451612904,1.0158861792831781,38.7270421216291,19.91957806352631,18.468147975180216
80,0.28346456692913385,1.0234486332426482,32.15169170604438,25.82193704646309,19.919790560165282
81,0.36363636363636365,0.999526408933423,30.350246719997404,21.912401654518444,24.001254056314256
82,0.32704402515723274,0.9968691296180339,27.656039034338637,20.45173347718648,25.34695233651342
83,0.29714285714285715,1.0147198602512395,32.23601936284808,22.249311072609686,31.39103720879435
84,0.2722513089005235,1.01181740943848,28.24144940292318,23.579571013868016,31.576549240772703
85,0.2703962703962704,1.0284283164148886,32.105810751597936,19.851982295013112,26.940006591868897
86,0.2755344418052256,1.0452677137490811,26.118767857396858,19.684424096410012,30.882465350867115
87,0.28087167070217917,1.0362694300518136,27.27017685136713,14.123726509180049,29.645225559645663
88,0.2857142857142857,1.0430069260039971,26.983033076372767,16.275636685288447,47.3845741205994
89,0.2857142857142857,1.0690435929036144,28.133559210143133,21.025829242388497,30.870107932209457
90,0.2857142857142857,1.0744944402834589,27.219189137084268,21.818360460749574,22.53903661685612
91,0.2857142857142857,1.0638297872340425,28.216221775515734,14.540295460839127,35.5717604251756
92,0.289544235924933,1.0552987692821738,28.277049461213792,18.414277580047056,29.69127372827607
93,0.2958904109589041,1.0351578213414139,22.32433590745723,20.69930927598054,49.734120951281064
94,0.3025210084033614,1.0050124044352176,21.784617407678233,19.505166317705722,31.384948885064404
95,0.3076923076923077,0.9957396215198655,25.51772584002223,18.38308104270317,32.57641151213255
96,0.3076923076923077,1.0057616496512687,24.31144708674172,20.05581440716446,28.48244567745912
97,0.3076923076923077,1.0013552175877125,29.253218081444448,19.622984767277615,52.16236512587152
98,0.3076923076923077,1.0036978341257268,28.992839174728296,21.632824932606496,58.93182259762846
99,0.3243243243243243,1.0192173033533032,29.531407936098,24.791733996558005,44.76958747294419
100,0.34285714285714286,1.0161340366118516,23.149414154815997,20.86421813305906,39.8787877730126
101,0.36363636363636365,1.0007524454477044,23.51964072823968,17.81583003532684,40.76114920437924
102,0.32704402515723274,0.9950248756218907,28.305421689218242,18.468890013106794,34.87770219518154
103,0.29714285714285715,0.992024419062623,39.48556546096077,17.011412149874058,32.73092092405964
104,0.2722513089005235,0.9730396810328443,33.378652954736275,22.17359712836763,24.111535368887573
105,0.24413145539906106,0.9915777103124107,24.47644700606395,26.097111924546635,33.53481326694874
106,0.21940928270042195,1.015228426395939,19.976320144170593,24.785789435646247,42.6500651712126
107,0.1992337164750958,1.0033023267538876,22.251491964596394,16.40294419532638,22.507143979259727
108,0.18245614035087718,0.9782061425591585,20.685213824220487,24.454581162154685,30.347619537722903
109,0.16828478964401294,0.9611163736339898,26.977468055613304,22.989421443470686,20.77325953294868
110,0.17251755265797392,0.9348856512527007,19.960314835126848,20.897044026243794,25.724041517281034
111,0.17972831765935215,0.9239653512993277,21.923997166688714,26.048992710300432,24.5764636104302
112,0.1875681570338059,0.9453193252839329,17.894290622429438,17.163750611645323,23.742118243897124
113,0.19612314709236034,0.9597858939159731,17.83076316527391,16.38929864385991,27.168731884404448
114,0.20549581839904418,0.9649143202585504,25.590040541274167,24.01012358942644,29.27177029104666
115,0.21439509954058192,0.9716618521259603,21.86315900219165,22.802277180935903,39.92486815339262
116,0.22257551669316375,1.0073516318587679,24.241036470436285,18.064040874275015,48.516663973737316
117,0.23140495867768596,1.0044114348378717,18.97992116784366,16.947701830680963,31.784792010520775
118,0.24096385542168672,0.9646895915070377,30.84027392687835,17.88050212398522,24.524411040372797
119,0.2505050505050505,0.9489566028719035,25.26239269416669,23.92682144510677,23.058092184465607
120,0.2546201232032854,0.9817362777260951,29.054367486612083,20.801029687170605,27.95763761450864
121,0.2588726513569937,1.0211543483938368,27.13876783167821,15.055076136161219,14.20491240350424
122,0.2632696390658174,1.0230378758297534,40.62721890882211,13.02343442323032,25.907090142901744
123,0.26552462526766596,1.0197072964548022,21.56002937114249,11.873411909643432,35.36505378039219
124,0.26105263157894737,1.0690884009656294,42.65818080963684,19.30266196157571,37.90917458320534
125,0.2567287784679089,1.0963124037329,35.63398266895035,24.41302601417718,37.17454165036604
126,0.2525458248472505,1.1019950955163313,22.845034575378314,29.146934584195723,28.53028487289947
127,0.25,1.07236293591697,17.57800979080519,14.51150905051478,27.397096506990056
128,0.25,1.0703451433804596,21.229479626838756,24.51451852172465,23.104489383511336
129,0.25,1.060708643647031,16.160988091338304,19.74192207708776,17.345350584673696
130,0.25,1.0412984965063474,13.679391711811217,20.642445104437524,20.039940675755442
131,0.25,1.032385423891586,21.73513519868662,14.105734462595287,36.13101317081117
132,0.25,1.047463175122751,12.390248391187418,14.879597283035645,54.99859378342548
133,0.25,1.0526315789473684,14.328673489771226,22.234047840438638,57.34188825297948
134,0.25,1.0249601699415802,20.056832091884004,26.311324820215294,47.538384353345066
135,0.23225806451612904,1.0392114848939382,23.462981398141665,26.74045766723728,35.504397266869454
136,0.19529837251356238,1.0571000499417362,13.815499801417493,21.39355864857602,40.59747795609963
137,0.1684867394695788,1.026381204394192,16.225840216873173,15.559367378914171,37.92469863720151
138,0.14814814814814814,1.0051789677781444,17.681266351257186,17.754757078698205,31.29386247614558
139,0.13219094247246022,0.9950991367514982,24.41922026827714,19.70372887341094,29.52439587766975
140,0.11933701657458563,0.980677030364665,30.34261486509305,20.952077769143617,30.178015997343337
141,0.10876132930513598,0.96683133380381,22.982556990325993,21.577474145458183,31.44308655263572
142,0.11122554067971165,0.9661835748792271,14.630026694188164,17.689400344784374,34.92092139801792
143,0.12231030577576445,0.94616565802547,13.16538593075194,15.386998337348741,28.344897289075625
144,0.13584905660377358,0.9741476208317758,10.99419436868724,18.513661538420394,26.777820465969413
145,0.15275813295615276,1.0177532904805666,20.714834950120565,21.676667961044426,23.318600002947072
146,0.17447495961227785,1.0489034191527065,15.34268507500159,19.102775663994706,21.068517054790064
147,0.20338983050847456,0.992499431775128,18.6194216629264,14.177064132044029,39.5272266927932
148,0.2437923250564334,0.9727441373733514,25.259806676860237,11.1827846097573,20.23922845627473
149,0.23384615384615384,0.9748576850094884,42.61164834704738,16.057959531197366,19.449896967559393
150,0.2177650429799427,1.049819687458271,21.019315304143447,16.49109275083132,20.38918983587832
151,0.2037533512064343,1.206878867653616,37.086377070514246,16.82153128188269,27.352174125745513
152,0.19143576826196473,1.0371132253364361,41.38117350940352,17.291427885719425,23.338422779944143
153,0.1842818428184282,1.193283315469813,39.549825819845466,15.3537308753211,27.4958804921077
154,0.2066869300911854,1.1503992178588702,15.106766514149804,17.453211063874907,25.879894783316445
155,0.23529411764705882,1.0561810277560997,35.27897693819532,12.803552379330286,17.867149287448058
156,0.27309236947791166,1.0225965059106563,53.019362973860936,11.470616275721367,17.47231147043751
157,0.3253588516746412,0.9997750506136112,59.33030357957574,17.172631906414725,18.49086639621855
158,0.28758169934640526,0.9824747742963332,24.62871673770969,16.222587934793832,18.09272273041121
159,0.24858757062146894,0.9779074215761301,69.05859955943411,15.130736786084599,20.248285831653956
160,0.21890547263681592,0.9829255922911581,32.56138585790742,13.870371567360563,21.206336209081993
161,0.19555555555555557,0.978211475449044,68.28958570588723,14.662244789441974,17.251204023260193
162,0.19475655430711608,0.9818585351732139,34.08902286944511,21.108118373277676,20.950370480715307
163,0.20077220077220076,1.000652053970008,44.73727194271957,15.579989692641993,19.329411240788183
164,0.20717131474103587,1.0064483499810324,40.544613417705825,15.583283457875602,25.27263377530962
165,0.2139917695473251,0.9887212538450256,44.32731045527834,14.96317461416009,20.079077843018894
166,0.22127659574468087,0.9745340731256212,50.60018975965746,19.53541161279654,18.60580022633042
167,0.2177650429799427,0.9770816869027968,60.15219118812218,16.750937853423938,13.937717271612346
168,0.21288515406162464,0.9987266235549684,79.15906506295042,11.397056367399511,22.834613611990527
169,0.20821917808219179,0.9957747522917623,116.62197774396358,15.240310355513179,20.515951092879394
170,0.2037533512064343,0.9786796200138782,286.1937575040789,23.392689452544943,25.766691719240665
171,0.20052770448548815,0.9772064796674158,175.63908818205073,16.143448437501803,15.380877963503607
172,0.20485175202156333,0.9944668760281172,449.3868479020335,22.8777266580743,22.03036041723266
173,0.209366391184573,1.0291504204132522,149.21875374288757,11.711300768628501,23.242713295779172
174,0.2140845070422535,1.0304635761589394,349.35238813037176,53.194988787518284,26.59642530761912
175,0.2190201729106628,0.9992561368708128,185.5100779196187,21.947947756608173,16.133455443399317
176,0.22328548644338117,0.9628515218146043,102.22903341147547,14.415972678261964,19.465169931418313
177,0.22617124394184165,0.9689693474818641,80.24195951921165,12.725284618761107,19.1652017324766
178,0.2291325695581015,0.9818676987027842,63.69292343297719,15.88382802486418,16.92834918356224
179,0.23217247097844113,0.9464424897004771,57.799807078002104,19.84680826274591,20.28305491976451
180,0.23529411764705882,0.9346822080492649,47.049882883065976,15.886404954108452,30.871231357222076
181,0.21593830334190228,0.9557807461999098,55.31066974685628,17.81720819396214,21.966552279163142
182,0.1995249406175772,0.9723942871835605,28.957256693353337,14.572165656894471,21.234779812674013
183,0.18543046357615897,0.9481981981981986,37.3169411586075,18.078053406151792,18.324262053205363
184,0.1731958762886598,0.9533750869867804,27.397335672241752,13.631354810127132,29.372239908343573
185,0.16247582205029013,0.9949164851125664,38.09705050158633,17.77612040324909,27.55668186156603
186,0.14654002713704206,0.9901476622196012,22.74623222858093,17.483501558661153,27.287476304866406
187,0.13176087840585604,1.0150347248721683,61.12806601662369,14.508551611017268,25.429234847834334
188,0.11968969338751385,1.063292559757602,35.86837170614521,21.54405326365806,38.54440264438372
189,0.10964467005076142,1.0407632263659967,48.37447556414489,20.408480845686253,23.70863532657724
190,0.10115516703090853,0.9743323582145883,36.341769845501574,18.375293686263152,17.77941903324722
191,0.09388583019414663,0.9604829857299665,36.736451834020116,9.368750423705592,27.46017277183288
192,0.08759124087591241,0.9435230838189159,35.41860377139419,15.132777693007633,21.31068428522919
193,0.08208766151507474,0.9563834620626993,34.074947331532556,20.764449404883543,15.305681102599074
194,0.07723480333730631,1.0019400309422684,16.24531089823313,9.531665918972339,22.339579478578315
195,0.07292370020256583,1.0246274672977411,25.653204585723735,10.958964610388088,18.052642741060207
196,0.07395571787263182,1.081003170942633,19.487249704785103,13.363640392049387,23.116122974084274
197,0.07839341882409873,1.056943171402387,27.974056980391506,12.246635579297266,28.054347772977106
198,0.0833976833976834,1.1163282440374385,17.580195689772893,14.616283682143223,28.58153118578195
199,0.08908441022821006,1.1094379052828909,23.500276871248843,17.563740606829207,33.34819007154927
200,0.09560342283859545,1.0746848829565225,21.860108667901677,18.99077672245046,27.461924867893423
201,0.10315186246418338,1.0367577756833188,20.653593822761017,15.265405798954243,23.104038666827947
202,0.11199446940891808,1.0552106244953647,19.722654357348176,8.33957444448471,24.56388025046488
203,0.12249527410207939,1.0305171177392332,23.98040804855533,11.969202659555616,37.24513086775451
204,0.13516896120150187,0.9846482186598092,27.267370736969706,12.031846362775786,27.09823292969843
205,0.15076779897626802,0.9506819618823937,18.763367209434687,11.264395818252051,33.24548552307202
206,0.16289592760180993,0.9601591781962932,19.378954086152092,14.878130723820236,25.401980077156935
207,0.16901408450704225,1.0257766027759476,23.549874390394844,12.0802434580364,26.23234631226658
208,0.17560975609756097,1.080702164325147,21.83517593674006,11.011444859952359,29.781321968584777
209,0.18274111675126903,0.9868822825316823,26.61131483439959,11.482497910913105,26.273379004296007
210,0.19047619047619047,0.9511946551919453,48.593209485879086,13.179542824302512,39.2933346273267
211,0.19889502762430938,1.0146009836994327,27.03902193850752,9.827289780482154,33.265236725474395
212,0.19383259911894274,1.0388559093362142,22.316142872566772,9.147243257939145,32.53220941500492
213,0.18723404255319148,1.0466900482244617,13.554463995434423,13.109608812505256,39.16444573263184
214,0.18106995884773663,0.9925742574257341,27.62524310204205,14.765099289667953,29.608207567593436
215,0.17529880478087648,0.9545071417181125,30.378118961483334,12.833078952012256,23.001739262822657
216,0.16988416988416988,0.9523809523809523,24.185757137981533,11.099221739169634,32.34952723260857
217,0.16374269005847955,0.9563904269436697,16.545567351546836,21.178303786086516,31.281622724854728
218,0.1564245810055866,0.9748540102490791,27.25476966615418,24.022987526874072,38.66471105839143
219,0.1497326203208556,0.9950248756218907,26.361991264939153,18.363681301686942,36.34484787387916
220,0.14358974358974358,0.9969420480819439,25.185002426977263,16.69456897581698,30.482808271707437
