time,breath,heart,delta,theta,alpha
4,0.4166666666666667,1.1781420007623271,830.9425865695246,602.4300553338501,276.5998672491076
5,0.3846153846153846,1.1733938955989127,513.0102038959315,406.41256220095374,191.00226300664414
6,0.36363636363636365,1.1714589989350372,410.2991153897827,310.8366820417107,149.9338238295419
7,0.36363636363636365,1.1949796712038183,289.051201866883,247.90703313338756,120.44232285906084
8,0.36363636363636365,1.1968560200071454,280.85518966219644,196.86810380941213,104.12850127799884
9,0.3529411764705882,1.2057465366854798,245.54566847218703,185.41465051953935,79.08354913605963
10,0.3333333333333333,1.267803410230692,271.1577549235168,158.22967821388428,79.14200238708318
11,0.31578947368421056,1.2702922077922076,197.54653821916966,138.57290067745396,65.0303035866157
12,0.2955665024630542,1.291104332929428,160.22773073017345,127.0760979517292,56.23779038688403
13,0.273972602739726,1.3053493729203993,138.01894221759576,114.47054438508366,55.56654732458166
14,0.25531914893617025,1.2979326089713779,145.39797148831119,108.01620567445381,56.311924907416234
15,0.2390438247011952,1.2903225806451613,121.43462645634729,90.54574711947666,44.011086676951955
16,0.2469135802469136,1.2834180744628505,132.97241382211183,88.30317436487739,43.43775845974323
17,0.2643171806167401,1.2658227848101264,116.43413993003531,83.12864467619494,49.456569815839956
18,0.2843601895734597,1.2529550827423166,130.80753358346215,82.22599536502767,60.20829140769702
19,0.3076923076923077,1.2250638439616566,97.35018043847028,77.60370729931897,40.30629329622423
20,0.3008356545961003,1.186881101200927,81.5144279424601,74.242756666972,34.51915937583438
21,0.29427792915531337,1.1887913954146618,75.2190062368383,66.19551478760613,49.020948408766856
22,0.288,1.191195818369306,102.58010218472303,63.70712240810609,28.102761892688125
23,0.2647058823529412,1.183431952662722,108.35113134395714,62.8170028690689,34.781417475454866
24,0.23684210526315788,1.1629096613579784,101.04111644318142,69.13928914216257,36.78592745911142
25,0.2142857142857143,1.1776419693744418,64.32655931643758,61.19453719785246,35.46227606665584
26,0.1956521739130435,1.1515996283021375,150.04506579936847,59.00980923892101,27.78508327275863
27,0.18619582664526485,1.1465554058937546,116.44549630789521,55.834793510718676,24.950328477961587
28,0.23061630218687873,1.1485930557841042,93.7868320200822,47.97269983092813,40.47628533816064
29,0.3028720626631854,1.1774832156997765,91.53188820178592,51.03110043504935,47.30231469943082
30,0.44106463878326996,1.2339235787511653,48.35003239283343,97.28712492356448,63.842357308013426
31,0.47311827956989244,1.2597361309807662,183.4615711725872,47.57032064328643,32.21703585831006
32,0.35200000000000004,1.2739370334307045,237.6913340467325,54.04234095728852,31.973499347142937
33,0.2802547770700637,1.282051282051282,124.88374693224898,44.474489415128375,45.84518251051872
34,0.2632696390658174,1.271473554147235,60.26978043867396,39.8437409309732,33.75459752829735
35,0.2588726513569937,1.2345679012345678,61.2199160612205,43.19182038182744,36.56818099906188
36,0.2546201232032854,1.2304547003369553,74.83678015439344,36.23472048779247,26.005019060232122
37,0.2505050505050505,1.2155801801134045,48.918198437041674,38.59159339913335,22.505132181351524
38,0.25357873210633947,1.1911149264942589,50.90837594539725,36.4073248113823,24.439242066265297
39,0.2577962577962578,1.223506381056357,42.264481626730756,29.72930683916875,20.42442090269483
