time,breath,heart,delta,theta,alpha
3,0.3870967741935484,1.222790856363016,302.8220715162332,130.58947338920035,721.5165116939767
4,0.37333333333333335,1.2484136310223266,197.35975026583333,151.5099382154779,617.3773579061485
5,0.36363636363636365,1.2682638272700386,145.7261177268805,141.2533103955709,386.6959006952828
6,0.36363636363636365,1.1914588193073747,248.4888440773051,113.07692412863653,731.7450314394508
7,0.36363636363636365,1.2942167751819227,209.19277125843348,90.46896505189311,684.7007872061488
8,0.3529411764705882,1.2249513393270923,98.43976474295386,80.23039438417081,434.09518084875185
9,0.3333333333333333,1.1547004665373024,237.53662918475294,76.77707093908619,580.954695730813
10,0.31578947368421056,1.2239367366823013,216.75097199969971,101.76104349383651,402.039381691201
11,0.3115264797507788,1.1778896971957968,120.22546844206313,186.86801199100364,704.1772245738482
12,0.3194888178913738,1.156220998576997,176.02800989849953,96.77074642636862,581.8235778585937
13,0.3278688524590164,1.2514009108901447,168.003631249492,128.34644900885706,554.8607464598545
14,0.3333333333333333,1.3125322863932225,131.79774723936822,125.12706730326207,488.47847070608094
15,0.3333333333333333,1.1371637329790767,136.19525378164332,80.88885992468927,423.52221537957
16,0.3333333333333333,1.2841298648921153,159.4954512015551,129.02072620435595,883.2234861528743
17,0.33699633699633696,1.217962760131435,121.32959229967548,154.57992753681515,490.81191781827147
18,0.3471698113207547,1.1489939413588377,252.50714919646606,113.57653734625396,539.4302709593292
19,0.357976653696498,1.2671496121683632,219.14890078514827,103.78253299983155,271.2862749464201
20,0.357976653696498,1.2343161161604965,143.45650651354737,119.54100861992006,586.0437586830241
21,0.3471698113207547,1.1392979847702478,179.91262504090273,132.3110671504435,408.35443417145575
22,0.33699633699633696,1.2274012923402395,126.80626750253225,90.59500902658931,762.9356821347943
23,0.3333333333333333,1.1687145157190069,146.45090981872974,108.87403492738852,758.51998360622
24,0.3333333333333333,1.086913086913087,91.13246392866535,141.98211441581702,539.7553585253104
25,0.3333333333333333,1.2481801950281555,203.5506486796305,91.64858765855215,459.3964664691197
26,0.3333333333333333,1.1297634252816593,250.02879820484821,94.90890056527938,430.64867184292564
27,0.3333333333333333,1.115220042982439,144.17732193249157,126.32874834494427,671.0310040106776
28,0.3333333333333333,1.237639255435925,122.21002001054889,132.64333265678445,593.9477069861139
29,0.3333333333333333,1.1754989676531316,109.29526202054282,151.80951044924942,641.438400070617
30,0.3333333333333333,1.148433404572765,136.6969035598711,192.63974631493323,658.8729424057332
31,0.3333333333333333,1.2820389052468986,114.38202523406169,117.75860463729653,455.76518464709875
32,0.3278688524590164,1.141513132105057,119.08289261058435,127.60875503128267,462.44214455295946
33,0.3194888178913738,1.1403288490284005,68.53088531626902,147.7385109698912,531.7452523276354
34,0.3115264797507788,1.2423688282458856,120.9889434499903,145.21602137800113,630.4546620179497
35,0.3115264797507788,1.131912465870655,80.1820428001374,117.61630857065333,442.15851960938176
36,0.3194888178913738,1.0605252071338296,121.9081448065489,132.96370324831207,495.057978806953
37,0.3278688524590164,1.2197492964952672,176.2442853371264,116.74708549923977,470.02721958049614
38,0.33699633699633696,1.0528414755732802,128.5220128193376,132.57289029962803,665.9581121754031
39,0.3471698113207547,1.0357281619000962,175.67356149485175,118.80781899467624,584.4898277760077
40,0.357976653696498,1.1428571428571428,299.0732315764261,102.73444646795805,489.08520252137345
41,0.36363636363636365,1.1190776161569884,62.38186604857489,73.39920355391656,435.1167021491834
42,0.36363636363636365,1.0886323332488872,74.3040851728544,135.87085305451177,602.2593471381751
43,0.36363636363636365,1.1451542978756948,251.15344985987753,82.55705258402095,646.6718144299598
44,0.36363636363636365,1.1112437198021137,148.72050760173477,128.53145174609625,478.0610005948195
45,0.36363636363636365,1.0652994574473689,92.35181536347181,106.72282496133221,353.30431981202804
46,0.36363636363636365,1.1824480369515011,221.14060147291644,136.51701743106048,796.8285375453477
47,0.36363636363636365,1.0995073169838274,222.19913212427014,133.86702175597662,681.2127384391503
48,0.36363636363636365,1.1159372128936411,227.77787203444913,106.01347316809168,528.8988205666801
49,0.36363636363636365,1.1790148177813375,173.0389415483467,141.2474890713382,716.9115863682034
50,0.36363636363636365,1.1116985121969638,239.64512716758986,152.90220458922158,644.491408795167
51,0.36363636363636365,1.1790979601172777,236.92931244154093,78.87735676860981,714.8870003881602
52,0.357976653696498,1.2292459316983726,146.78358633243278,114.6754595682026,544.4019284656408
53,0.3471698113207547,1.1167428334025757,209.47007120032794,87.9529120351755,470.1780916492185
54,0.33699633699633696,1.2175602702275243,197.952517136862,70.18247217623389,545.9018710303583
55,0.3333333333333333,1.1873483498314403,167.75414064595165,144.51689392440812,652.8660530374864
56,0.3333333333333333,1.1616966104834228,114.1059907913422,102.35505733652565,616.1047982554646
57,0.3333333333333333,1.2699738903394258,127.86162294521745,100.26420288710565,598.0758888833232
58,0.33948339483394835,1.152041144326583,115.1830989770639,128.2481530594062,309.91585137808494
59,0.34980988593155893,1.1502468651228128,181.3469620711887,141.99648988693056,542.7800844130944
60,0.3607843137254902,1.2440440915017186,294.2967195767312,99.35113256096227,853.7041854946494
61,0.34782608695652173,1.1785307088308057,163.4418163843785,107.38640273935725,623.2655957242343
62,0.32876712328767127,1.2394366197183098,147.58824880563708,161.3009180533225,609.8881507590975
63,0.3116883116883117,1.2930984846502134,276.5680068762855,126.96896737732798,569.2556391433345
64,0.31347962382445144,1.2806922660897782,231.15955535305596,125.25495015495136,364.73405050485064
65,0.3215434083601286,1.234159779614325,195.1011532713255,153.75374177018185,713.0177937761771
66,0.33003300330033003,1.3095053095053095,435.8665201988033,115.94376500253598,584.0969711658724
67,0.3278688524590164,1.1678113787801128,172.44341814719135,77.59380327424753,435.7892325689984
68,0.3194888178913738,1.1608271229138238,189.77369749868365,107.07182197522897,563.6468453264706
69,0.3115264797507788,1.24571996874334,153.69576010617646,109.57553157828342,375.30732822273524
70,0.3115264797507788,1.1695210573286303,177.38074742335738,137.5378870750015,626.7143791457503
71,0.3194888178913738,1.134081512108683,191.50849268265904,135.5636998562232,694.1672117392123
72,0.3278688524590164,1.235898860794665,191.12459080458407,128.39543362306466,692.9805814768158
73,0.33699633699633696,1.2023887363236128,147.34629630419906,160.4507195153223,657.1740001863126
74,0.3471698113207547,1.1701847241689505,285.5320920283988,107.03600026477065,637.4629886278831
75,0.357976653696498,1.2617475356493444,269.6068815916022,83.72816262699628,356.6707948568293
76,0.357976653696498,1.2211621856027755,277.25896165404544,98.28251350075016,710.0665320312963
77,0.3471698113207547,1.1485007039441888,83.12899911767512,97.03172571720691,409.41458138192274
78,0.33699633699633696,1.275154413229727,140.2027250923121,97.48312014296467,326.04832926041786
79,0.33948339483394835,1.2357296841315961,273.93418586377226,101.80378776379328,456.8753513679208
80,0.34980988593155893,1.1548634285008033,97.22184927912916,129.6270571805822,673.7000172424064
81,0.3607843137254902,1.2436754014449756,125.86648373817053,106.43919795541328,453.1066700699344
82,0.3552123552123552,1.2244970943227536,105.60768202588508,109.85473527122399,696.636052529633
83,0.34456928838951306,1.1885356412821293,245.8903969143134,90.4369874361138,714.5083886441641
84,0.33454545454545453,1.2679466797113856,316.1177062427774,118.410508834299,738.5060677037653
85,0.3420074349442379,1.2165728522653871,420.02209182823947,224.5539550513089,608.5149887079651
86,0.35249042145593873,1.1800860479409956,163.25580388008638,189.95155510646032,515.7732438496212
87,0.36363636363636365,1.2673267326732673,82.59663174765578,115.45435129205406,305.5202321622904
88,0.35249042145593873,1.2061752322395243,160.16216245819095,119.88988766970215,395.18148670094376
89,0.3420074349442379,1.2476384515651047,191.41044866518376,137.92267734693877,426.0133921365783
90,0.3333333333333333,1.2485603478669645,154.10568977489152,120.43789904533709,497.305221848804
91,0.3333333333333333,1.2135957066189624,161.57363158561486,99.95177685547813,332.57612459674203
92,0.3333333333333333,1.2530607336139505,100.8814354333876,81.27708093307359,444.3863817147701
93,0.33222591362126247,1.3264248704663213,185.02999413817582,110.68057788943713,793.9641370868123
94,0.3236245954692557,1.1598777341802338,62.17907250428565,99.48835751696308,322.02716661097344
95,0.31545741324921134,1.2962025316455696,99.96021271749932,120.58716404744624,575.2200490127562
96,0.3076923076923077,1.3118054099391905,188.74331434857191,110.57910925366227,602.588873280582
97,0.31545741324921134,1.1874213836477987,272.19805360375244,119.9456452081911,302.9492190338779
98,0.3236245954692557,1.3118447817242997,192.30254796099356,159.85344102864047,464.1734404695169
99,0.33222591362126247,1.304556354916067,127.25272095841811,136.01057822429885,403.8509799454595
100,0.32573289902280134,1.2369200161057294,193.31568272101515,179.69208102308036,686.9588488956092
101,0.31746031746031744,1.2624291709144362,260.0277400779966,136.23915459869602,492.0278414034875
102,0.30959752321981426,1.269960660118267,250.46254650270822,126.68981209245416,516.3565731242742
103,0.2978723404255319,1.2322644234075228,138.52775199708412,133.5343105834599,653.775923491019
104,0.2857142857142857,1.2380138962627825,202.06841414766453,85.31685245113276,543.3856238839525
105,0.27450980392156865,1.3421251756566859,237.6542247285259,96.45305322650421,509.083874804184
106,0.2692307692307692,1.288623117099387,175.11457517127667,137.4217321697745,411.0563666525089
107,0.27999999999999997,1.216001440760001,236.0877660984681,100.0600710532307,520.9031870960459
108,0.29166666666666663,1.2669035750912256,167.4900702899753,104.54399422283147,547.1407136232672
109,0.30434782608695654,1.3528705260629355,187.41187479052513,107.30906272710389,356.21550131330457
110,0.31347962382445144,1.2057870118568474,286.8280164804173,91.40155521499904,725.8721656169348
111,0.3215434083601286,1.2002206287920574,417.3024385842167,85.25421738689892,624.2404090572456
112,0.33003300330033003,1.2958711491755082,141.97557840250522,129.95975761139854,435.1159325606096
113,0.3333333333333333,1.2254002688108656,246.34564988448594,185.299776571903,627.4321364325361
114,0.3333333333333333,1.1798260869565218,261.84084530011523,273.03059522360513,808.6611536615286
115,0.3333333333333333,1.273205338095947,176.0416704069762,135.19822744969804,578.9111733891523
116,0.33948339483394835,1.2089453967533206,110.51631886810212,127.40954153578926,479.39099993217377
117,0.34980988593155893,1.1554900515843773,307.9538656352698,175.5842402941782,484.93460766462465
118,0.3607843137254902,1.2721976058165438,263.9063113639996,113.48149465535279,526.8821722578252
119,0.37333333333333335,1.2165841309320247,255.91463111123034,88.1174614685631,380.39859767664836
120,0.3870967741935484,1.2232739547932394,169.47478530027746,83.17948124785434,111.22882664785077
121,0.40718562874251496,1.3061224489795917,189.79707649303236,132.53580796396326,204.56993932043878
122,0.4755244755244755,1.1842445406925328,296.670037449473,155.57074029933267,168.49781094774917
123,0.5714285714285714,1.3025097063973405,642.6611885010141,131.3111440534284,169.21815366982867
124,0.4755244755244755,1.25571466263702,897.192128130547,119.18822225639931,136.2833914997725
125,0.40718562874251496,1.2456077275233097,722.3698101487118,108.03231435341888,173.10904829076338
126,0.3665338645418327,1.301164725457571,902.1662473301612,209.32688463803242,203.2313197002289
127,0.33454545454545453,1.3038262668045502,331.516314355339,105.15406950267209,161.78237110692925
128,0.3076923076923077,1.341275858334236,123.27069965807982,109.40866260227676,199.08449787452793
129,0.3605150214592275,1.2933271785402882,595.4349678318191,138.8410486130016,214.0483728404789
130,0.4352331606217617,1.297430121838845,862.4473013304473,84.5652642365836,175.7539337150185
131,0.48,1.3216838760921368,1073.9380340395185,88.2259313145269,210.68441273079802
