caused,,breath,breath,heart,heart,eeg_amp_o1,eeg_amp_o1
causing,,heart,eeg_amp_o1,breath,eeg_amp_o1,breath,heart
timescale,sleepstage,,,,,,
1,LS,0.0011516066797541136,0.0011617615728911114,0.0014580587548060115,0.0015070533711494035,0.0007930309912150546,0.0008244946163268439
1,DS,0.0012174503645328682,0.0008543588463672119,0.0020692542573357607,0.0015200441995162637,0.0009202677500305494,0.0011223358698515325
1,REM,0.0008365805978995736,0.0024001891238289736,0.001154282862731587,0.0026837315522749376,0.0010802121755697064,0.0015647362090244622
2,LS,0.0011425292544494758,0.0011553868630586152,0.0019749702916950678,0.002010781265295572,0.0009928996880848534,0.001180177840354996
2,DS,0.0016255553110603482,0.0014881937666179422,0.003610855581296621,0.002419300313855414,0.0012215795482293454,0.0019210654015117984
2,REM,0.0011781936288056659,0.0014482897183471768,0.0013614812806983648,0.0051875836121454515,0.0012755285222727695,0.002024110988883814
5,LS,0.0015508866090313586,0.0017116968655837479,0.0019486245386832186,0.0034526643436603387,0.0011740935325878941,0.0017243428860460861
5,DS,0.0033705396193395606,0.0018267680874059094,0.0041973717348436,0.005399315884958646,0.0026858996942178146,0.0037559081708789595
5,REM,0.0020963018399645615,0.002589010485410886,0.002786381834151182,0.007453913602844996,0.002174958248813349,0.0024907190380425953
10,LS,0.002659667652261837,0.00287335932706092,0.004291249565872277,0.006764682571275234,0.005362474814754968,0.003116539280218628
10,DS,0.004354271576486887,0.003584906694434796,0.0045699680563412995,0.005313529214508153,0.0051213918587404185,0.0068183797260347396
10,REM,0.003937027004420727,0.00562698572619904,0.005440697309064397,0.011119299251241225,0.003690204989139679,0.006281982381983399
15,LS,0.004355828414777622,0.0047659673078637435,0.004953331958683563,0.011144308941093809,0.00398676234515933,0.0054768549004592226
15,DS,0.005883998326835407,0.006754541090289582,0.008426795446572476,0.00899800886026986,0.005350796257399175,0.007772931807643353
15,REM,0.008466924369064049,0.00800332431107253,0.009250286703426312,0.012757341296015624,0.005729678274533619,0.008300247826268614
