caused,,breath,breath,heart,heart,eeg_amp_o1,eeg_amp_o1
causing,,heart,eeg_amp_o1,breath,eeg_amp_o1,breath,heart
timescale,sleepstage,,,,,,
1,LS,0.0011905160533655277,0.0008129990684383446,0.002179213833728319,0.0014048069992306019,0.0007602129135554158,0.0008218896645517176
1,DS,0.001174313550455756,0.0009593478395268882,0.001999776868923801,0.001299801424286697,0.0017937347679248907,0.0009520618516537793
1,REM,0.0009880124040358364,0.0015677301741402888,0.0012229193172589106,0.0019577019197144605,0.0009033985335750992,0.0012230978109428736
2,LS,0.0013422466190181777,0.000923806719795709,0.0015417653663510453,0.0022428004576605285,0.0012476130953401373,0.001482964690974054
2,DS,0.0019085674372299956,0.00136235850437493,0.0029518841082061867,0.0019569598128602464,0.0015648504698415535,0.0014215937897540142
2,REM,0.0012042141667527888,0.0020388187003531526,0.0013661559259760517,0.0029979252329814586,0.0011757686499127406,0.001635188919787672
5,LS,0.0018315457413005827,0.0013978360362549844,0.001946593745916547,0.003135844809725198,0.0017315269895480884,0.002022264798547221
5,DS,0.002348611455440554,0.0022264596514743953,0.002457526272926737,0.005255785499758212,0.002024512031290343,0.0027873272011066093
5,REM,0.0024387314265069183,0.0026222560681734867,0.003264100929218447,0.004599977315043909,0.0027898808467596795,0.0024706115558407013
10,LS,0.0035181356148280465,0.002550747703351169,0.0031534637576751553,0.0057133434316559316,0.0022855761772136683,0.003715691206098217
10,DS,0.003841912905142982,0.004754081512965129,0.004087412080325188,0.004071167948627071,0.00335875597116624,0.004111123989635425
10,REM,0.0057992866352685295,0.004449572328739635,0.006212549833438481,0.00807399831640978,0.005351087436190039,0.005691383682915159
15,LS,0.0053569576507866345,0.004406422842569605,0.006174978643530724,0.006060040944717366,0.003615224957161067,0.004689075774410083
15,DS,0.005160934148714024,0.005924040038423228,0.005390228405662948,0.007343261852613952,0.005519100996676216,0.0073342576643968815
15,REM,0.005081129590023848,0.0067655202297443985,0.010046187116159176,0.01503453770208574,0.005253676726684987,0.008000244477186644
