caused,,breath,breath,heart,heart,eeg_amp_o1,eeg_amp_o1
causing,,heart,eeg_amp_o1,breath,eeg_amp_o1,breath,heart
timescale,sleepstage,,,,,,
1,LS,0.016342651497458633,0.006767638513970197,0.02830196795758906,0.023224482433176884,0.00706627203825481,0.01449691826675513
1,DS,0.014777739562693822,0.0017421814408266042,0.024876215230532895,0.007076163004863638,0.004514703599356739,0.004193653028016012
1,REM,0.008845125075368176,0.0056583728706682615,0.015636088421492323,0.018371031176466265,0.004690864834317673,0.00936022421585959
2,LS,0.01973124684628508,0.010677340412814684,0.03451116450466064,0.03985242054015318,0.0120487981810511,0.020913865208854927
2,DS,0.016961090075840252,0.0027029196203153653,0.028487977876256725,0.014297928067041296,0.0032296564163715024,0.006034987007715405
2,REM,0.008139830462995882,0.009385936572801547,0.016419286816224246,0.02624629624884277,0.007977486335097624,0.012343439619617601
5,LS,0.025124694179623524,0.014020979580590037,0.024048682813242756,0.04374274642900679,0.013828452910331523,0.025089039299901802
5,DS,0.012360667571214453,0.0065687348342238034,0.011127993304674514,0.0252226010669593,0.0031396762509319416,0.0058180090923019906
5,REM,0.011055362124809192,0.013114254111698842,0.022851872219537234,0.035641128243021666,0.011122468521886985,0.016158083315757132
10,LS,0.025099979592611343,0.020413618796709526,0.02986780842918437,0.050138178657038526,0.015138140559515928,0.029301229423537398
10,DS,0.0096151183165485,0.00507383599100714,0.008558626219201606,0.011130657001549686,0.004368327661363939,0.005736356660118585
10,REM,0.012933476268444623,0.011467129176975045,0.02891972811941176,0.0391961206201694,0.012373083220295057,0.011847399798237143
15,LS,0.025925103399226226,0.02291887306084044,0.032622693661007056,0.0416952443232735,0.014931229616720186,0.025063590879741107
15,DS,0.006186866537201688,0.0043191593209281395,0.015511543720480421,0.0044420965887294874,0.012065269000417538,0.02354097137464713
15,REM,0.0016345669930138888,0.012493552037862182,0.045825100423893934,0.04712089463608189,0.005406911686874248,0.018361222966349875
