caused,breath,breath,heart,heart,eeg_amp_o1,eeg_amp_o1
causing,heart,eeg_amp_o1,breath,eeg_amp_o1,breath,heart
awake,[],[],[],[],[],[]
LS,"[[-0.12408379534478173, 2445.0], [0.18513096189562087, 4590]]","[[-0.056996173407000444, 2445.0], [0.061535626533750144, 4590]]","[[0.008135354802729337, 2445.0], [-0.05009673028166096, 4590]]","[[-0.22490276805587933, 2445.0], [-0.09035355085250635, 4590]]","[[0.19544012746885062, 2445.0], [-0.06746073429642373, 4590]]","[[0.2413592194323576, 2445.0], [0.109564755978042, 4590]]"
DS,[],[],[],[],[],[]
REM,[],[],[],[],[],[]
