caused,breath,breath,heart,heart,eeg_amp_o1,eeg_amp_o1
causing,heart,eeg_amp_o1,breath,eeg_amp_o1,breath,heart
awake,"[[0.009450967779392272, 2760], [-0.09436138704224434, 1230]]","[[0.05484140871515105, 2760], [0.36996221547997504, 1230]]","[[0.060021490607856096, 2760], [-0.022840216608467936, 1230]]","[[0.12823872283492463, 2760], [0.1850242697662867, 1230]]","[[0.04610200904254105, 2760], [-0.028952684704388196, 1230]]","[[0.05168094386766848, 2760], [-0.07943256697081723, 1230]]"
LS,"[[0.036270136075047164, 4590], [0.013924816273569457, 3900], [-0.009689077879898403, 2400], [0.005276886702235782, 3510], [-0.0487203674005374, 1140], [0.04734570855037037, 3750], [0.0936725769394585, 780.0], [0.07570557099070528, 2040], [-0.030471429558389145, 2190], [-0.010657506270148635, 3930], [-0.05067764234238882, 1740], [-0.08668593225510329, 840], [0.005456312513877853, 4380], [-0.02232371258551772, 2910], [0.12626297240031834, 1980], [-0.002793315393160286, 2310], [-0.019988621510622487, 5130], [0.07968698749490143, 2580], [2.141619461342918, 465.0], [0.10010097944234814, 3450], [-0.0010946734028087315, 4980], [-0.01844440864788263, 1860], [-0.016016097470808836, 2820], [-0.17353412267007254, 675.0], [0.19867752440871655, 1380], [-0.02238343070861741, 2430], [0.1316482235347151, 3450], [0.08152614849995768, 3510], [0.3613684455446791, 960], [-0.05439735632023318, 1740], [-0.006323758512371556, 3030], [-0.049978839379012874, 2130], [0, 510.0], [-0.10958544341836077, 930.0], [0.014074386713179699, 2190], [0.04699931999011418, 3240], [0.028986428306541856, 1350], [-0.004585081022675294, 2490], [-0.010238881571381505, 2520], [-0.002787443224002513, 2790], [0.061614148960663924, 2220], [0.003515273012956092, 1800], [0.20735500306069318, 525.0], [0.029578923828713223, 4740], [0.02126593074448337, 2760], [-0.19692131365293103, 630], [0.12614719491399548, 960], [0.025621381996824573, 2250], [-0.024655599728929625, 2430], [0.330371968699112, 2820], [-0.043188248125684524, 3120]]","[[0.04123758280319416, 4590], [0.09541581407130786, 3900], [0.012950881146265988, 2400], [-0.007575831752260196, 3510], [0.08464813513860697, 1140], [0.09327703520346896, 3750], [-0.025256834608844154, 780.0], [0.05031897586537258, 2040], [-0.03458920763166574, 2190], [0.0007304072256073941, 3930], [0.06700171326978527, 1740], [0.5566602984930336, 840], [-0.01935916942093598, 4380], [-0.009864566304682314, 2910], [0.014347780949224018, 1980], [0.015056582172591372, 2310], [-0.029330045274907648, 5130], [0.1358237006263029, 2580], [1.0593099166017945, 465.0], [0.01456634572388809, 3450], [0.13188654220314436, 4980], [0.003196406316159187, 1860], [-0.042055787161409036, 2820], [-0.17151267394983555, 675.0], [-0.0044493667697590965, 1380], [0.02583533454642151, 2430], [0.17813454082696595, 3450], [-0.01630479564511373, 3510], [0.11714795030680032, 960], [-0.03635428738234743, 1740], [-0.014254447809471757, 3030], [-0.07654538915671401, 2130], [0, 510.0], [-0.13807704920818606, 930.0], [-0.06775434320748043, 2190], [0.20581848990996052, 3240], [0.1980034511012762, 1350], [-0.019504863688157247, 2490], [-0.04918998068553218, 2520], [0.08825433248836666, 2790], [0.17949047595399967, 2220], [-0.038634256216951136, 1800], [0.22475974977134652, 525.0], [0.016331832450532463, 4740], [-0.02618973279843946, 2760], [-0.15038591739475843, 630], [-0.007610287009249353, 960], [-0.024168694790305832, 2250], [0.032668454048709925, 2430], [-0.0345194281692931, 2820], [0.008889982476606708, 3120]]","[[0.0316651016172606, 4590], [0.04210856860115793, 3900], [-0.04994690717942614, 2400], [-0.014258078334684034, 3510], [0.1603464262507747, 1140], [-0.015395949327630682, 3750], [0.22717748708543198, 780.0], [-0.03553948653707308, 2040], [-0.028469316489936936, 2190], [-0.002275752206840088, 3930], [-0.04413151197498808, 1740], [-0.17873664561057717, 840], [0.04779962848567223, 4380], [0.06496925012826917, 2910], [0.007147874796501146, 1980], [0.6585049329209473, 2310], [0.0845445125009122, 5130], [-0.059638043320892085, 2580], [-0.5276418670207551, 465.0], [-0.010006544892894315, 3450], [-0.0037264668597092794, 4980], [-0.023062738558473857, 1860], [0.19642975263428275, 2820], [-0.2641807053020332, 675.0], [-0.027291840667576683, 1380], [0.024336423338615944, 2430], [-0.0021598020917616063, 3450], [-0.01978476727471294, 3510], [-0.051834487602157545, 960], [0.04679389004055038, 1740], [-0.03045501155897535, 3030], [-0.030180038376970045, 2130], [0, 510.0], [-0.060104770366308784, 930.0], [-0.03220155516578493, 2190], [0.1454970384709101, 3240], [0.0044879708719716225, 1350], [-0.0052676101518736715, 2490], [-0.02639741584173268, 2520], [-0.018766806027475085, 2790], [-0.03253312669033189, 2220], [0.41529432879741546, 1800], [-0.5845046026327535, 525.0], [0.005145266020791504, 4740], [-0.023542909007925366, 2760], [1.5317666245443589, 630], [0.11784395345012996, 960], [0.7301269402895545, 2250], [-0.011227501221703436, 2430], [0.3037863445400053, 2820], [-0.013230180116900279, 3120]]","[[0.06768639229918984, 4590], [0.057488192394489865, 3900], [-0.07383382654824533, 2400], [-0.01570996637286828, 3510], [-0.01718413311712965, 1140], [0.007986847371151939, 3750], [0.046502993177737754, 780.0], [-0.04522209155755029, 2040], [-0.04218862203587467, 2190], [0.004357491420064376, 3930], [0.03668149477514397, 1740], [0.014404248389717808, 840], [0.058374823737215135, 4380], [-0.017626350870356168, 2910], [-0.016560386968575095, 1980], [0.008514955553214007, 2310], [0.0544680068167553, 5130], [0.019116506136900194, 2580], [-0.8317276171827853, 465.0], [-0.02018514991655998, 3450], [0.1369695113684599, 4980], [0.15907570447947014, 1860], [0.4817679926163077, 2820], [0.014233118627600596, 675.0], [0.03497439020404059, 1380], [0.16422832367991871, 2430], [0.010671705322904327, 3450], [-0.022686190143601553, 3510], [-0.15127340871899797, 960], [-0.04449186395349385, 1740], [-0.040324703190225394, 3030], [0.06270063291813253, 2130], [0, 510.0], [0.31690425884519, 930.0], [-0.009814751470819815, 2190], [0.014417348186525968, 3240], [0.037536858515223474, 1350], [-0.033976837682432016, 2490], [-0.020519777583023535, 2520], [0.0670246293182053, 2790], [0.04505872922736028, 2220], [-0.03966305988822031, 1800], [-0.38583337569414966, 525.0], [0.002478046016448235, 4740], [-0.03022765327813153, 2760], [0.48213280429956196, 630], [0.015810662432536603, 960], [0.005969965956103964, 2250], [0.015515467094771654, 2430], [0.0006095188168778135, 2820], [-0.0031298649968768463, 3120]]","[[0.01411200351191213, 4590], [-0.008548759754908578, 3900], [-0.04196517886026092, 2400], [-0.0020935879927153588, 3510], [0.11429915704088776, 1140], [0.028643625533400698, 3750], [-0.17845708852811965, 780.0], [-0.031165412872802344, 2040], [-0.014204881172968272, 2190], [-0.021231270250456923, 3930], [0.0069754455902691715, 1740], [-0.04617854512351054, 840], [0.11871565755748276, 4380], [0.03181375693959163, 2910], [-0.041278348095756444, 1980], [0.07596872545310455, 2310], [0.10014138159562576, 5130], [-0.0447047489593568, 2580], [1.2257904596408125, 465.0], [0.09358412994048705, 3450], [0.041414734710442026, 4980], [-0.03436781836725335, 1860], [0.141180052386265, 2820], [-0.255312777406044, 675.0], [0.05195968288051684, 1380], [-0.04935923890819045, 2430], [-0.009145298198145814, 3450], [-0.02221354874172519, 3510], [-0.1637277469514068, 960], [0.09909094563427026, 1740], [0.00469292422026967, 3030], [-0.06371382262647038, 2130], [0, 510.0], [-0.08899586357619985, 930.0], [-0.02279575612052113, 2190], [0.14263214123851886, 3240], [0.007473712052276243, 1350], [-0.035210946002073515, 2490], [-0.006514173330219692, 2520], [0.02558889168201528, 2790], [-0.022886156854359345, 2220], [0.547586818293305, 1800], [-0.25927094410445906, 525.0], [0.03543085700354965, 4740], [-0.04782467991094116, 2760], [0.724437352269482, 630], [-0.009891593242575183, 960], [0.08908035620840209, 2250], [0.005616995871777281, 2430], [0.01689593968448097, 2820], [0.05983828357198113, 3120]]","[[-0.0012477651713509155, 4590], [-0.017958957606368328, 3900], [-0.02712033386173513, 2400], [-0.008980912052884251, 3510], [0.2191439873793977, 1140], [-0.009272881063813727, 3750], [0.4215555105373809, 780.0], [-0.03828487624483203, 2040], [0.028963951254929655, 2190], [0.050002574386645765, 3930], [-0.01890453111950249, 1740], [-0.007649020071833176, 840], [0.10617380538283193, 4380], [0.0015231159046544237, 2910], [0.01613946226882949, 1980], [0.0021820056323541416, 2310], [-0.00014460600449279977, 5130], [-0.017318371640784817, 2580], [2.7246509774222636, 465.0], [-0.019932609891999676, 3450], [0.0996646688820891, 4980], [0.007205092398030234, 1860], [0.2987516921982792, 2820], [-0.020085558559319344, 675.0], [0.014438523157766111, 1380], [-0.014238899353642191, 2430], [-0.0012340518078447812, 3450], [0.0260292262690167, 3510], [-0.12462514880924996, 960], [-0.06059927409430897, 1740], [0.0460296848308731, 3030], [0.03926609489697629, 2130], [0, 510.0], [-0.11758767696460443, 930.0], [-0.04718642246732063, 2190], [0.5181006170851595, 3240], [-0.007865730176856562, 1350], [-0.0139333511199276, 2490], [-0.02192393125810686, 2520], [-0.01886137453794918, 2790], [-0.00032770713814214697, 2220], [-0.04051858819150855, 1800], [-0.22637616681891196, 525.0], [0.0456149701555581, 4740], [-0.040879638021755905, 2760], [-0.10592027420960784, 630], [-0.08636276789318759, 960], [0.03711716323533586, 2250], [0.07202997402968658, 2430], [0.09856164906030233, 2820], [-0.03526626403089795, 3120]]"
DS,"[[0.057389444021910596, 1350], [1.8782868397426369, 735.0], [0, 510.0], [0.16063023849131403, 1800], [0.0007729421496729893, 1260.0], [0, 502.5], [0.1300163815101456, 2010], [0.028167217866499485, 1080.0], [-0.06521600851495124, 2580], [0.08821208648130822, 2370], [0.00687706499111649, 3810]]","[[0.10206603352562572, 1350], [0.9377358964210745, 735.0], [0, 510.0], [0.20765627969975653, 1800], [0.14988167818845433, 1260.0], [0, 502.5], [-0.03592396479702275, 2010], [-0.10378787696375316, 1080.0], [0.04481821363728381, 2580], [0.0003683657361577831, 2370], [-0.015451253346851485, 3810]]","[[-0.04330270174444081, 1350], [-0.2691444437543639, 735.0], [0, 510.0], [0.09957417704556686, 1800], [0.35190568139969375, 1260.0], [0, 502.5], [-0.01123261796088351, 2010], [-0.09792357080238993, 1080.0], [0.044714308359989685, 2580], [0.014177216020808124, 2370], [-0.009104160779389674, 3810]]","[[-0.020978630629532553, 1350], [-1.0344559659998986, 735.0], [0, 510.0], [0.0032460909397544727, 1800], [0.04532877823044767, 1260.0], [0, 502.5], [0.007770126139094924, 2010], [0.039119269033221604, 1080.0], [-0.0420717943387173, 2580], [0.012915904067704145, 2370], [-0.008306458492546895, 3810]]","[[0.00010858778699261247, 1350], [-0.8524353087176264, 735.0], [0, 510.0], [0.02138193415502886, 1800], [0.5272454920012657, 1260.0], [0, 502.5], [-0.015318853841845545, 2010], [0.0488469054097507, 1080.0], [-0.060476644535892396, 2580], [0.10698691621766591, 2370], [0.007645571239065489, 3810]]","[[0.001245843822838954, 1350], [-1.0537310595116658, 735.0], [0, 510.0], [0.22075383030571138, 1800], [0.21606574856753508, 1260.0], [0, 502.5], [-0.03807914601861944, 2010], [0.05898573840301024, 1080.0], [0.009102077869605677, 2580], [0.07181908069934584, 2370], [-0.002977575200460563, 3810]]"
REM,"[[0, 480], [0.04669642694024392, 1980], [0.08069037527811658, 1980], [0.023393532349696555, 2580], [-0.030978039005047902, 1410], [0.043097252484164704, 3360], [-0.024563912584390838, 1740], [0.03231139807911518, 1770], [0.04940220426822016, 2130], [-0.011410647759508202, 1830]]","[[0, 480], [-0.015177735298703485, 1980], [0.019512266412034122, 1980], [-0.07081662288783488, 2580], [-0.033870466994935185, 1410], [0.04525522941732827, 3360], [0.0030377389198009306, 1740], [0.12637632077814978, 1770], [0.101084282933729, 2130], [-0.05984344273015781, 1830]]","[[0, 480], [0.13597944726725011, 1980], [0.36282067254706224, 1980], [-0.009720816219821106, 2580], [0.36272917334161364, 1410], [0.09291386110709515, 3360], [-0.03546661137678036, 1740], [-0.014056483176624971, 1770], [0.026981710256475295, 2130], [0.04040671002060092, 1830]]","[[0, 480], [0.07099965356450064, 1980], [0.04270779306431812, 1980], [0.05871429331018301, 2580], [-0.02158655545813903, 1410], [-0.022706604100694538, 3360], [-0.029525751196157118, 1740], [-0.004245443930450042, 1770], [0.038614328986235055, 2130], [-0.042025307370104854, 1830]]","[[0, 480], [0.004927533334097252, 1980], [0.05005816896268327, 1980], [-0.03857162830503193, 2580], [0.003504192263012244, 1410], [-0.04008837547575643, 3360], [-0.04047809312233634, 1740], [0.05117793998239506, 1770], [-0.03287738239373312, 2130], [0.07652446887808478, 1830]]","[[0, 480], [0.008452131001444258, 1980], [-0.05203331644356648, 1980], [-0.027085774507506485, 2580], [-0.07949783466367494, 1410], [0.11449254007603955, 3360], [0.11153973657218179, 1740], [0.04923130781589232, 1770], [-0.04815127247787823, 2130], [0.034019817924007656, 1830]]"
