caused,breath,breath,heart,heart,eeg_amp_o1,eeg_amp_o1
causing,heart,eeg_amp_o1,breath,eeg_amp_o1,breath,heart
awake,[],[],[],[],[],[]
LS,"[[-0.04680998810090342, 5130], [0.22715667498654551, 3450], [-0.01583726043115972, 3930], [0.14017712544441394, 1800], [0, 960]]","[[-0.029447663355516407, 5130], [0.030465488100886427, 3450], [0.08224888001120882, 3930], [0.003529725218302682, 1800], [0, 960]]","[[0.18386258329134791, 5130], [-0.0010221103668014927, 3450], [0.35247612124508026, 3930], [-0.04339691008623604, 1800], [0, 960]]","[[-0.01869085608895394, 5130], [0.04335181969691581, 3450], [0.13894293747693776, 3930], [-0.03020888951682124, 1800], [0, 960]]","[[0.08684690780796517, 5130], [0.07427139476878103, 3450], [0.012304218120161298, 3930], [0.14790183056692593, 1800], [0, 960]]","[[-0.033370508255170864, 5130], [0.04941154904158316, 3450], [-0.020364031257551714, 3930], [0.20260184919067442, 1800], [0, 960]]"
DS,"[[-0.4643417051744436, 915.0]]","[[-0.2999674127639654, 915.0]]","[[-0.8370225791060816, 915.0]]","[[-0.3348567534468411, 915.0]]","[[-0.8581864514353746, 915.0]]","[[-0.8599816040038871, 915.0]]"
REM,"[[0.061836608463445894, 1200.0]]","[[0.6249553649276942, 1200.0]]","[[-0.20235174496471706, 1200.0]]","[[-0.012486585365467475, 1200.0]]","[[-0.10276605230864867, 1200.0]]","[[0.012745972265512948, 1200.0]]"
